Date,Event,Type
18/07/2016,Sea Day,Holidays in Japan
11/08/2016,Mountain Day,Holidays in Japan
19/09/2016,Respect for the Aged Day,Holidays in Japan
22/09/2016,Autumn Equinox,Holidays in Japan
10/10/2016,Sports Day,Holidays in Japan
03/11/2016,Culture Day,Holidays in Japan
23/11/2016,Labor Thanksgiving Day,Holidays in Japan
23/12/2016,Emperor's Birthday,Holidays in Japan
01/01/2017,New Year's Day,Holidays in Japan
02/01/2017,New Year's Day observed,Holidays in Japan
09/01/2017,Coming of Age Day,Holidays in Japan
11/02/2017,National Foundation Day,Holidays in Japan
20/03/2017,Spring Equinox,Holidays in Japan
29/04/2017,Shōwa Day,Holidays in Japan
03/05/2017,Constitution Memorial Day,Holidays in Japan
04/05/2017,Greenery Day,Holidays in Japan
05/05/2017,Children's Day,Holidays in Japan
17/07/2017,Sea Day,Holidays in Japan
11/08/2017,Mountain Day,Holidays in Japan
18/09/2017,Respect for the Aged Day,Holidays in Japan
23/09/2017,Autumn Equinox,Holidays in Japan
09/10/2017,Sports Day,Holidays in Japan
03/11/2017,Culture Day,Holidays in Japan
23/11/2017,Labor Thanksgiving Day,Holidays in Japan
23/12/2017,Emperor's Birthday,Holidays in Japan
01/01/2018,New Year's Day,Holidays in Japan
08/01/2018,Coming of Age Day,Holidays in Japan
11/02/2018,National Foundation Day,Holidays in Japan
12/02/2018,National Foundation Day observed,Holidays in Japan
21/03/2018,Spring Equinox,Holidays in Japan
29/04/2018,Shōwa Day,Holidays in Japan
30/04/2018,Shōwa Day observed,Holidays in Japan
03/05/2018,Constitution Memorial Day,Holidays in Japan
04/05/2018,Greenery Day,Holidays in Japan
05/05/2018,Children's Day,Holidays in Japan
16/07/2018,Sea Day,Holidays in Japan
11/08/2018,Mountain Day,Holidays in Japan
17/09/2018,Respect for the Aged Day,Holidays in Japan
23/09/2018,Autumn Equinox,Holidays in Japan
24/09/2018,Autumn Equinox observed,Holidays in Japan
08/10/2018,Sports Day,Holidays in Japan
03/11/2018,Culture Day,Holidays in Japan
23/11/2018,Labor Thanksgiving Day,Holidays in Japan
23/12/2018,Emperor's Birthday,Holidays in Japan
24/12/2018,Emperor's Birthday observed,Holidays in Japan
24/03/2016,Purim (Tel Aviv),Holidays in Israel
25/03/2016,Shushan Purim (Jerusalem),Holidays in Israel
23/04/2016,Pesach I (First day of Passover),Holidays in Israel
24/04/2016,Pesach II (Passover),Holidays in Israel
25/04/2016,Pesach III (Passover),Holidays in Israel
26/04/2016,Pesach IV (Passover),Holidays in Israel
27/04/2016,Pesach V (Passover),Holidays in Israel
28/04/2016,Pesach VI (Passover),Holidays in Israel
29/04/2016,Pesach VII (Last day of Passover),Holidays in Israel
05/05/2016,Yom HaShoah/Holocaust Memorial Day,Holidays in Israel
11/05/2016,Yom HaZikaron (Memorial Day),Holidays in Israel
12/05/2016,Yom HaAtzmaut (Independence Day),Holidays in Israel
05/06/2016,Yom Yerushalayim (Jerusalem Day),Holidays in Israel
12/06/2016,Shavuot (Pentecost),Holidays in Israel
14/08/2016,Tisha B'Av,Holidays in Israel
03/10/2016,Rosh Hashana (New Year),Holidays in Israel
04/10/2016,Rosh Hashana II (New Year day 2),Holidays in Israel
12/10/2016,Yom Kippur,Holidays in Israel
17/10/2016,Sukkot I,Holidays in Israel
18/10/2016,Sukkot II,Holidays in Israel
19/10/2016,Sukkot III,Holidays in Israel
20/10/2016,Sukkot IV,Holidays in Israel
21/10/2016,Sukkot V,Holidays in Israel
22/10/2016,Sukkot VI,Holidays in Israel
23/10/2016,Sukkot VII/Hoshanah Rabah,Holidays in Israel
24/10/2016,Shmini Atzeret/Simchat Torah,Holidays in Israel
08/11/2016,Yom HaAliyah School Observance,Holidays in Israel
25/12/2016,Hanukkah I (Holiday of lights),Holidays in Israel
26/12/2016,Hanukkah II,Holidays in Israel
27/12/2016,Hanukkah III,Holidays in Israel
28/12/2016,Hanukkah IV,Holidays in Israel
29/12/2016,Hanukkah V,Holidays in Israel
30/12/2016,Hanukkah VI/Rosh Chodesh Tevet,Holidays in Israel
31/12/2016,Hanukkah VII,Holidays in Israel
01/01/2017,Hanukkah VIII,Holidays in Israel
12/03/2017,Purim (Tel Aviv),Holidays in Israel
13/03/2017,Shushan Purim (Jerusalem),Holidays in Israel
06/04/2017,Yom HaAliyah,Holidays in Israel
11/04/2017,Pesach I (First day of Passover),Holidays in Israel
12/04/2017,Pesach II (Passover),Holidays in Israel
13/04/2017,Pesach III (Passover),Holidays in Israel
14/04/2017,Pesach IV (Passover),Holidays in Israel
15/04/2017,Pesach V (Passover),Holidays in Israel
16/04/2017,Pesach VI (Passover),Holidays in Israel
17/04/2017,Pesach VII (Last day of Passover),Holidays in Israel
24/04/2017,Yom HaShoah/Holocaust Memorial Day,Holidays in Israel
01/05/2017,Yom HaZikaron (Memorial Day),Holidays in Israel
02/05/2017,Yom HaAtzmaut (Independence Day),Holidays in Israel
24/05/2017,Yom Yerushalayim (Jerusalem Day),Holidays in Israel
31/05/2017,Shavuot (Pentecost),Holidays in Israel
01/08/2017,Tisha B'Av,Holidays in Israel
21/09/2017,Rosh Hashana (New Year),Holidays in Israel
22/09/2017,Rosh Hashana II (New Year day 2),Holidays in Israel
30/09/2017,Yom Kippur,Holidays in Israel
05/10/2017,Sukkot I,Holidays in Israel
06/10/2017,Sukkot II,Holidays in Israel
07/10/2017,Sukkot III,Holidays in Israel
08/10/2017,Sukkot IV,Holidays in Israel
09/10/2017,Sukkot V,Holidays in Israel
10/10/2017,Sukkot VI,Holidays in Israel
11/10/2017,Sukkot VII/Hoshanah Rabah,Holidays in Israel
12/10/2017,Shmini Atzeret/Simchat Torah,Holidays in Israel
27/10/2017,Yom HaAliyah School Observance,Holidays in Israel
13/12/2017,Hanukkah I (Holiday of lights),Holidays in Israel
14/12/2017,Hanukkah II,Holidays in Israel
15/12/2017,Hanukkah III,Holidays in Israel
16/12/2017,Hanukkah IV,Holidays in Israel
17/12/2017,Hanukkah V,Holidays in Israel
18/12/2017,Hanukkah VI/Rosh Chodesh Tevet,Holidays in Israel
19/12/2017,Hanukkah VII,Holidays in Israel
20/12/2017,Hanukkah VIII,Holidays in Israel
01/03/2018,Purim (Tel Aviv),Holidays in Israel
02/03/2018,Shushan Purim (Jerusalem),Holidays in Israel
26/03/2018,Yom HaAliyah,Holidays in Israel
31/03/2018,Pesach I (First day of Passover),Holidays in Israel
01/04/2018,Pesach II (Passover),Holidays in Israel
02/04/2018,Pesach III (Passover),Holidays in Israel
03/04/2018,Pesach IV (Passover),Holidays in Israel
04/04/2018,Pesach V (Passover),Holidays in Israel
05/04/2018,Pesach VI (Passover),Holidays in Israel
06/04/2018,Pesach VII (Last day of Passover),Holidays in Israel
11/04/2018,Yom HaShoah/Holocaust Memorial Day,Holidays in Israel
18/04/2018,Yom HaZikaron (Memorial Day),Holidays in Israel
19/04/2018,Yom HaAtzmaut (Independence Day),Holidays in Israel
13/05/2018,Yom Yerushalayim (Jerusalem Day),Holidays in Israel
20/05/2018,Shavuot (Pentecost),Holidays in Israel
22/07/2018,Tisha B'Av,Holidays in Israel
10/09/2018,Rosh Hashana (New Year),Holidays in Israel
11/09/2018,Rosh Hashana II (New Year day 2),Holidays in Israel
19/09/2018,Yom Kippur,Holidays in Israel
24/09/2018,Sukkot I,Holidays in Israel
25/09/2018,Sukkot II,Holidays in Israel
26/09/2018,Sukkot III,Holidays in Israel
27/09/2018,Sukkot IV,Holidays in Israel
28/09/2018,Sukkot V,Holidays in Israel
29/09/2018,Sukkot VI,Holidays in Israel
30/09/2018,Sukkot VII/Hoshanah Rabah,Holidays in Israel
01/10/2018,Shmini Atzeret/Simchat Torah,Holidays in Israel
16/10/2018,Yom HaAliyah School Observance,Holidays in Israel
03/12/2018,Hanukkah I (Holiday of lights),Holidays in Israel
04/12/2018,Hanukkah II,Holidays in Israel
05/12/2018,Hanukkah III,Holidays in Israel
06/12/2018,Hanukkah IV,Holidays in Israel
07/12/2018,Hanukkah V,Holidays in Israel
08/12/2018,Hanukkah VI/Rosh Chodesh Tevet,Holidays in Israel
09/12/2018,Hanukkah VII,Holidays in Israel
10/12/2018,Hanukkah VIII,Holidays in Israel
01/01/2016,New Year's Day,Holidays in Jamaica
10/02/2016,Ash Wednesday,Holidays in Jamaica
14/02/2016,Valentine's Day,Holidays in Jamaica
25/03/2016,Good Friday,Holidays in Jamaica
27/03/2016,Easter Sunday,Holidays in Jamaica
28/03/2016,Easter Monday,Holidays in Jamaica
08/05/2016,Mother's Day,Holidays in Jamaica
23/05/2016,Labor Day / May Day,Holidays in Jamaica
19/06/2016,Father's Day,Holidays in Jamaica
01/08/2016,Emancipation Day,Holidays in Jamaica
08/08/2016,Independence Day,Holidays in Jamaica
17/10/2016,National Heroes' Day,Holidays in Jamaica
24/12/2016,Christmas Eve,Holidays in Jamaica
25/12/2016,Christmas Day,Holidays in Jamaica
26/12/2016,Boxing Day,Holidays in Jamaica
27/12/2016,Christmas/Boxing Day Holiday,Holidays in Jamaica
31/12/2016,New Year's Eve,Holidays in Jamaica
01/01/2017,New Year's Day,Holidays in Jamaica
02/01/2017,New Year's Day observed,Holidays in Jamaica
14/02/2017,Valentine's Day,Holidays in Jamaica
01/03/2017,Ash Wednesday,Holidays in Jamaica
14/04/2017,Good Friday,Holidays in Jamaica
16/04/2017,Easter Sunday,Holidays in Jamaica
17/04/2017,Easter Monday,Holidays in Jamaica
14/05/2017,Mother's Day,Holidays in Jamaica
23/05/2017,Labor Day / May Day,Holidays in Jamaica
18/06/2017,Father's Day,Holidays in Jamaica
01/08/2017,Emancipation Day,Holidays in Jamaica
07/08/2017,Independence Day,Holidays in Jamaica
16/10/2017,National Heroes' Day,Holidays in Jamaica
24/12/2017,Christmas Eve,Holidays in Jamaica
25/12/2017,Christmas Day,Holidays in Jamaica
26/12/2017,Boxing Day,Holidays in Jamaica
31/12/2017,New Year's Eve,Holidays in Jamaica
01/01/2018,New Year's Day,Holidays in Jamaica
14/02/2018,Ash Wednesday,Holidays in Jamaica
14/02/2018,Valentine's Day,Holidays in Jamaica
30/03/2018,Good Friday,Holidays in Jamaica
01/04/2018,Easter Sunday,Holidays in Jamaica
02/04/2018,Easter Monday,Holidays in Jamaica
13/05/2018,Mother's Day,Holidays in Jamaica
23/05/2018,Labor Day / May Day,Holidays in Jamaica
17/06/2018,Father's Day,Holidays in Jamaica
01/08/2018,Emancipation Day,Holidays in Jamaica
06/08/2018,Independence Day,Holidays in Jamaica
15/10/2018,National Heroes' Day,Holidays in Jamaica
24/12/2018,Christmas Eve,Holidays in Jamaica
25/12/2018,Christmas Day,Holidays in Jamaica
26/12/2018,Boxing Day,Holidays in Jamaica
01/01/2016,New Year's Day,Holidays in Jordan
25/03/2016,Good Friday,Holidays in Jordan
27/03/2016,Easter Day,Holidays in Jordan
28/03/2016,Easter Monday,Holidays in Jordan
01/05/2016,Labour Day,Holidays in Jordan
01/05/2016,Orthodox Easter Day,Holidays in Jordan
04/05/2016,Al Isra' wal Miraj,Holidays in Jordan
25/05/2016,Independence Day,Holidays in Jordan
07/06/2016,Ramadan begins,Holidays in Jordan
07/07/2016,Eid-al-Fitr,Holidays in Jordan
08/07/2016,Eid-al-Fitr holiday,Holidays in Jordan
09/07/2016,Eid-al-Fitr holiday,Holidays in Jordan
10/07/2016,Eid-al-Fitr holiday,Holidays in Jordan
13/09/2016,Eid-al-Adha,Holidays in Jordan
13/09/2016,Eid-al-Adha holiday,Holidays in Jordan
14/09/2016,Eid-al-Adha holiday,Holidays in Jordan
15/09/2016,Eid-al-Adha holiday,Holidays in Jordan
16/09/2016,Eid-al-Adha holiday,Holidays in Jordan
03/10/2016,Muharram/New Year,Holidays in Jordan
12/12/2016,Prophet's Birthday,Holidays in Jordan
25/12/2016,Christmas Day,Holidays in Jordan
01/01/2017,New Year's Day,Holidays in Jordan
14/04/2017,Good Friday,Holidays in Jordan
16/04/2017,Easter Day,Holidays in Jordan
16/04/2017,Orthodox Easter Day,Holidays in Jordan
17/04/2017,Easter Monday,Holidays in Jordan
23/04/2017,Al Isra' wal Miraj,Holidays in Jordan
01/05/2017,Labour Day,Holidays in Jordan
25/05/2017,Independence Day,Holidays in Jordan
27/05/2017,Ramadan begins,Holidays in Jordan
26/06/2017,Eid-al-Fitr,Holidays in Jordan
27/06/2017,Eid-al-Fitr holiday,Holidays in Jordan
28/06/2017,Eid-al-Fitr holiday,Holidays in Jordan
29/06/2017,Eid-al-Fitr holiday,Holidays in Jordan
02/09/2017,Eid-al-Adha,Holidays in Jordan
02/09/2017,Eid-al-Adha holiday,Holidays in Jordan
03/09/2017,Eid-al-Adha holiday,Holidays in Jordan
04/09/2017,Eid-al-Adha holiday,Holidays in Jordan
05/09/2017,Eid-al-Adha holiday,Holidays in Jordan
22/09/2017,Muharram/New Year,Holidays in Jordan
01/12/2017,Prophet's Birthday,Holidays in Jordan
25/12/2017,Christmas Day,Holidays in Jordan
01/01/2018,New Year's Day,Holidays in Jordan
30/03/2018,Good Friday,Holidays in Jordan
01/04/2018,Easter Day,Holidays in Jordan
02/04/2018,Easter Monday,Holidays in Jordan
08/04/2018,Orthodox Easter Day,Holidays in Jordan
12/04/2018,Al Isra' wal Miraj,Holidays in Jordan
01/05/2018,Labour Day,Holidays in Jordan
16/05/2018,Ramadan begins,Holidays in Jordan
25/05/2018,Independence Day,Holidays in Jordan
15/06/2018,Eid-al-Fitr,Holidays in Jordan
16/06/2018,Eid-al-Fitr holiday,Holidays in Jordan
17/06/2018,Eid-al-Fitr holiday,Holidays in Jordan
18/06/2018,Eid-al-Fitr holiday,Holidays in Jordan
22/08/2018,Eid-al-Adha,Holidays in Jordan
22/08/2018,Eid-al-Adha holiday,Holidays in Jordan
23/08/2018,Eid-al-Adha holiday,Holidays in Jordan
24/08/2018,Eid-al-Adha holiday,Holidays in Jordan
25/08/2018,Eid-al-Adha holiday,Holidays in Jordan
12/09/2018,Muharram/New Year,Holidays in Jordan
21/11/2018,Prophet's Birthday,Holidays in Jordan
25/12/2018,Christmas Day,Holidays in Jordan
25/01/2016,Tu Bishvat,Jewish Holidays
23/03/2016,Ta'anit Esther (Fast of Esther),Jewish Holidays
24/03/2016,Purim (Tel Aviv),Jewish Holidays
25/03/2016,Shushan Purim (Jerusalem),Jewish Holidays
23/04/2016,Pesach I (First day of Passover),Jewish Holidays
24/04/2016,Pesach II (Passover),Jewish Holidays
25/04/2016,Pesach III (Passover),Jewish Holidays
26/04/2016,Pesach IV (Passover),Jewish Holidays
27/04/2016,Pesach V (Passover),Jewish Holidays
28/04/2016,Pesach VI (Passover),Jewish Holidays
29/04/2016,Pesach VII (Last day of Passover),Jewish Holidays
05/05/2016,Yom HaShoah/Holocaust Memorial Day,Jewish Holidays
11/05/2016,Yom HaZikaron (Memorial Day),Jewish Holidays
12/05/2016,Yom HaAtzmaut (Independence Day),Jewish Holidays
26/05/2016,Lag B'Omer,Jewish Holidays
05/06/2016,Yom Yerushalayim (Jerusalem Day),Jewish Holidays
12/06/2016,Shavuot (Pentecost),Jewish Holidays
23/07/2016,Fast of Shiva Asar B'Tammuz,Jewish Holidays
14/08/2016,Tisha B'Av,Jewish Holidays
03/10/2016,Rosh Hashana (New Year),Jewish Holidays
04/10/2016,Rosh Hashana II (New Year day 2),Jewish Holidays
05/10/2016,Tzom Gedaliah,Jewish Holidays
12/10/2016,Yom Kippur,Jewish Holidays
17/10/2016,Sukkot I,Jewish Holidays
18/10/2016,Sukkot II,Jewish Holidays
19/10/2016,Sukkot III,Jewish Holidays
20/10/2016,Sukkot IV,Jewish Holidays
21/10/2016,Sukkot V,Jewish Holidays
22/10/2016,Sukkot VI,Jewish Holidays
23/10/2016,Sukkot VII/Hoshanah Rabah,Jewish Holidays
24/10/2016,Shmini Atzeret/Simchat Torah,Jewish Holidays
25/12/2016,Hanukkah I (Holiday of lights),Jewish Holidays
26/12/2016,Hanukkah II,Jewish Holidays
27/12/2016,Hanukkah III,Jewish Holidays
28/12/2016,Hanukkah IV,Jewish Holidays
29/12/2016,Hanukkah V,Jewish Holidays
30/12/2016,Hanukkah VI/Rosh Chodesh Tevet,Jewish Holidays
31/12/2016,Hanukkah VII,Jewish Holidays
01/01/2017,Hanukkah VIII,Jewish Holidays
08/01/2017,Asarah B'Tevet,Jewish Holidays
11/02/2017,Tu Bishvat,Jewish Holidays
09/03/2017,Ta'anit Esther (Fast of Esther),Jewish Holidays
12/03/2017,Purim (Tel Aviv),Jewish Holidays
13/03/2017,Shushan Purim (Jerusalem),Jewish Holidays
11/04/2017,Pesach I (First day of Passover),Jewish Holidays
12/04/2017,Pesach II (Passover),Jewish Holidays
13/04/2017,Pesach III (Passover),Jewish Holidays
14/04/2017,Pesach IV (Passover),Jewish Holidays
15/04/2017,Pesach V (Passover),Jewish Holidays
16/04/2017,Pesach VI (Passover),Jewish Holidays
17/04/2017,Pesach VII (Last day of Passover),Jewish Holidays
24/04/2017,Yom HaShoah/Holocaust Memorial Day,Jewish Holidays
01/05/2017,Yom HaZikaron (Memorial Day),Jewish Holidays
02/05/2017,Yom HaAtzmaut (Independence Day),Jewish Holidays
14/05/2017,Lag B'Omer,Jewish Holidays
24/05/2017,Yom Yerushalayim (Jerusalem Day),Jewish Holidays
31/05/2017,Shavuot (Pentecost),Jewish Holidays
11/07/2017,Fast of Shiva Asar B'Tammuz,Jewish Holidays
01/08/2017,Tisha B'Av,Jewish Holidays
21/09/2017,Rosh Hashana (New Year),Jewish Holidays
22/09/2017,Rosh Hashana II (New Year day 2),Jewish Holidays
24/09/2017,Tzom Gedaliah,Jewish Holidays
30/09/2017,Yom Kippur,Jewish Holidays
05/10/2017,Sukkot I,Jewish Holidays
06/10/2017,Sukkot II,Jewish Holidays
07/10/2017,Sukkot III,Jewish Holidays
08/10/2017,Sukkot IV,Jewish Holidays
09/10/2017,Sukkot V,Jewish Holidays
10/10/2017,Sukkot VI,Jewish Holidays
11/10/2017,Sukkot VII/Hoshanah Rabah,Jewish Holidays
12/10/2017,Shmini Atzeret/Simchat Torah,Jewish Holidays
13/12/2017,Hanukkah I (Holiday of lights),Jewish Holidays
14/12/2017,Hanukkah II,Jewish Holidays
15/12/2017,Hanukkah III,Jewish Holidays
16/12/2017,Hanukkah IV,Jewish Holidays
17/12/2017,Hanukkah V,Jewish Holidays
18/12/2017,Hanukkah VI/Rosh Chodesh Tevet,Jewish Holidays
19/12/2017,Hanukkah VII,Jewish Holidays
20/12/2017,Hanukkah VIII,Jewish Holidays
28/12/2017,Asarah B'Tevet,Jewish Holidays
31/01/2018,Tu Bishvat,Jewish Holidays
28/02/2018,Ta'anit Esther (Fast of Esther),Jewish Holidays
01/03/2018,Purim (Tel Aviv),Jewish Holidays
02/03/2018,Shushan Purim (Jerusalem),Jewish Holidays
31/03/2018,Pesach I (First day of Passover),Jewish Holidays
01/04/2018,Pesach II (Passover),Jewish Holidays
02/04/2018,Pesach III (Passover),Jewish Holidays
03/04/2018,Pesach IV (Passover),Jewish Holidays
04/04/2018,Pesach V (Passover),Jewish Holidays
05/04/2018,Pesach VI (Passover),Jewish Holidays
06/04/2018,Pesach VII (Last day of Passover),Jewish Holidays
11/04/2018,Yom HaShoah/Holocaust Memorial Day,Jewish Holidays
18/04/2018,Yom HaZikaron (Memorial Day),Jewish Holidays
19/04/2018,Yom HaAtzmaut (Independence Day),Jewish Holidays
03/05/2018,Lag B'Omer,Jewish Holidays
13/05/2018,Yom Yerushalayim (Jerusalem Day),Jewish Holidays
20/05/2018,Shavuot (Pentecost),Jewish Holidays
30/06/2018,Fast of Shiva Asar B'Tammuz,Jewish Holidays
22/07/2018,Tisha B'Av,Jewish Holidays
10/09/2018,Rosh Hashana (New Year),Jewish Holidays
11/09/2018,Rosh Hashana II (New Year day 2),Jewish Holidays
12/09/2018,Tzom Gedaliah,Jewish Holidays
19/09/2018,Yom Kippur,Jewish Holidays
24/09/2018,Sukkot I,Jewish Holidays
25/09/2018,Sukkot II,Jewish Holidays
26/09/2018,Sukkot III,Jewish Holidays
27/09/2018,Sukkot IV,Jewish Holidays
28/09/2018,Sukkot V,Jewish Holidays
29/09/2018,Sukkot VI,Jewish Holidays
30/09/2018,Sukkot VII/Hoshanah Rabah,Jewish Holidays
01/10/2018,Shmini Atzeret/Simchat Torah,Jewish Holidays
03/12/2018,Hanukkah I (Holiday of lights),Jewish Holidays
04/12/2018,Hanukkah II,Jewish Holidays
05/12/2018,Hanukkah III,Jewish Holidays
06/12/2018,Hanukkah IV,Jewish Holidays
07/12/2018,Hanukkah V,Jewish Holidays
08/12/2018,Hanukkah VI/Rosh Chodesh Tevet,Jewish Holidays
09/12/2018,Hanukkah VII,Jewish Holidays
10/12/2018,Hanukkah VIII,Jewish Holidays
18/12/2018,Asarah B'Tevet,Jewish Holidays
01/01/2016,New Year's Day,Holidays in Kenya
25/03/2016,Good Friday,Holidays in Kenya
27/03/2016,Easter Sunday,Holidays in Kenya
28/03/2016,Easter Monday,Holidays in Kenya
01/05/2016,Labour Day/May Day,Holidays in Kenya
02/05/2016,Labour Day/May Day observed,Holidays in Kenya
08/05/2016,Mother's Day,Holidays in Kenya
01/06/2016,Madaraka Day,Holidays in Kenya
07/07/2016,Eid al-Fitr,Holidays in Kenya
12/09/2016,Idd ul Adha,Holidays in Kenya
20/10/2016,Mashujaa Day,Holidays in Kenya
12/12/2016,Jamhuri Day,Holidays in Kenya
24/12/2016,Christmas Eve,Holidays in Kenya
25/12/2016,Christmas Day,Holidays in Kenya
26/12/2016,Christmas Day observed,Holidays in Kenya
26/12/2016,Boxing Day,Holidays in Kenya
31/12/2016,New Year's Eve,Holidays in Kenya
01/01/2017,New Year's Day,Holidays in Kenya
02/01/2017,New Year's Day observed,Holidays in Kenya
14/04/2017,Good Friday,Holidays in Kenya
16/04/2017,Easter Sunday,Holidays in Kenya
17/04/2017,Easter Monday,Holidays in Kenya
01/05/2017,Labour Day/May Day,Holidays in Kenya
14/05/2017,Mother's Day,Holidays in Kenya
01/06/2017,Madaraka Day,Holidays in Kenya
27/06/2017,Eid al-Fitr,Holidays in Kenya
02/09/2017,Idd ul Adha,Holidays in Kenya
20/10/2017,Mashujaa Day,Holidays in Kenya
12/12/2017,Jamhuri Day,Holidays in Kenya
24/12/2017,Christmas Eve,Holidays in Kenya
25/12/2017,Christmas Day,Holidays in Kenya
26/12/2017,Boxing Day,Holidays in Kenya
31/12/2017,New Year's Eve,Holidays in Kenya
01/01/2018,New Year's Day,Holidays in Kenya
30/03/2018,Good Friday,Holidays in Kenya
01/04/2018,Easter Sunday,Holidays in Kenya
02/04/2018,Easter Monday,Holidays in Kenya
01/05/2018,Labour Day/May Day,Holidays in Kenya
13/05/2018,Mother's Day,Holidays in Kenya
01/06/2018,Madaraka Day,Holidays in Kenya
16/06/2018,Eid al-Fitr,Holidays in Kenya
22/08/2018,Idd ul Adha,Holidays in Kenya
20/10/2018,Mashujaa Day,Holidays in Kenya
12/12/2018,Jamhuri Day,Holidays in Kenya
24/12/2018,Christmas Eve,Holidays in Kenya
25/12/2018,Christmas Day,Holidays in Kenya
26/12/2018,Boxing Day,Holidays in Kenya
01/01/2016,New Year,Holidays in Kyrgyzstan
07/01/2016,Orthodox Christmas Day,Holidays in Kyrgyzstan
08/01/2016,Extra Holiday,Holidays in Kyrgyzstan
16/01/2016,Extra Working Day,Holidays in Kyrgyzstan
22/02/2016,Defender of the Fatherland Extra Holiday,Holidays in Kyrgyzstan
23/02/2016,Defender of the Fatherland Day,Holidays in Kyrgyzstan
07/03/2016,International Women's Day (extra holiday),Holidays in Kyrgyzstan
08/03/2016,International Women's Day,Holidays in Kyrgyzstan
21/03/2016,"National Holiday ""Nooruz""",Holidays in Kyrgyzstan
30/04/2016,Extra Working Day,Holidays in Kyrgyzstan
01/05/2016,May Day,Holidays in Kyrgyzstan
03/05/2016,Extra Holiday,Holidays in Kyrgyzstan
04/05/2016,Extra Holiday,Holidays in Kyrgyzstan
05/05/2016,Constitution Day of the Kyrgyz Republic,Holidays in Kyrgyzstan
06/05/2016,Constitution Day (extra holiday),Holidays in Kyrgyzstan
07/05/2016,Extra Working Day,Holidays in Kyrgyzstan
09/05/2016,Victory Day,Holidays in Kyrgyzstan
05/07/2016,Orozo Ait,Holidays in Kyrgyzstan
31/08/2016,Independence Day of the Kyrgyz Republic,Holidays in Kyrgyzstan
13/09/2016,Kurman Ait,Holidays in Kyrgyzstan
07/11/2016,Day of the Great October Socialist Revolution,Holidays in Kyrgyzstan
01/01/2017,New Year,Holidays in Kyrgyzstan
02/01/2017,New Year (Extra Holiday),Holidays in Kyrgyzstan
07/01/2017,Orthodox Christmas Day,Holidays in Kyrgyzstan
09/01/2017,Orthodox Christmas (Extra Holiday),Holidays in Kyrgyzstan
23/02/2017,Defender of the Fatherland Day,Holidays in Kyrgyzstan
08/03/2017,International Women's Day,Holidays in Kyrgyzstan
21/03/2017,"National Holiday ""Nooruz""",Holidays in Kyrgyzstan
01/05/2017,May Day,Holidays in Kyrgyzstan
05/05/2017,Constitution Day of the Kyrgyz Republic,Holidays in Kyrgyzstan
09/05/2017,Victory Day,Holidays in Kyrgyzstan
26/06/2017,Orozo Ait,Holidays in Kyrgyzstan
31/08/2017,Independence Day of the Kyrgyz Republic,Holidays in Kyrgyzstan
02/09/2017,Kurman Ait,Holidays in Kyrgyzstan
07/11/2017,Day of the Great October Socialist Revolution,Holidays in Kyrgyzstan
01/01/2018,New Year,Holidays in Kyrgyzstan
07/01/2018,Orthodox Christmas Day,Holidays in Kyrgyzstan
23/02/2018,Defender of the Fatherland Day,Holidays in Kyrgyzstan
08/03/2018,International Women's Day,Holidays in Kyrgyzstan
21/03/2018,"National Holiday ""Nooruz""",Holidays in Kyrgyzstan
01/05/2018,May Day,Holidays in Kyrgyzstan
05/05/2018,Constitution Day of the Kyrgyz Republic,Holidays in Kyrgyzstan
09/05/2018,Victory Day,Holidays in Kyrgyzstan
15/06/2018,Orozo Ait,Holidays in Kyrgyzstan
22/08/2018,Kurman Ait,Holidays in Kyrgyzstan
31/08/2018,Independence Day of the Kyrgyz Republic,Holidays in Kyrgyzstan
07/11/2018,Day of the Great October Socialist Revolution,Holidays in Kyrgyzstan
01/01/2016,New Year,Holidays in Cambodia
07/01/2016,Victory over Genocide Day,Holidays in Cambodia
22/02/2016,Meak Bochea Day,Holidays in Cambodia
08/03/2016,International Women Day,Holidays in Cambodia
13/04/2016,Khmer New Year Day (Day 1),Holidays in Cambodia
14/04/2016,Khmer New Year Day (Day 2),Holidays in Cambodia
15/04/2016,Khmer New Year Day (Day 3),Holidays in Cambodia
01/05/2016,Labour Day,Holidays in Cambodia
02/05/2016,Labour Day observed,Holidays in Cambodia
08/05/2016,Mother's Day,Holidays in Cambodia
13/05/2016,King's Birthday (Day 1),Holidays in Cambodia
14/05/2016,King's Birthday (Day 2),Holidays in Cambodia
15/05/2016,King's Birthday (Day 3),Holidays in Cambodia
20/05/2016,Visak Bochea Day,Holidays in Cambodia
24/05/2016,Royal Plowing Ceremony,Holidays in Cambodia
01/06/2016,International Children Day,Holidays in Cambodia
18/06/2016,King's Mother's Birthday,Holidays in Cambodia
19/06/2016,Father's Day,Holidays in Cambodia
24/09/2016,Constitutional Day,Holidays in Cambodia
30/09/2016,Pchum Ben Day (Day 1),Holidays in Cambodia
01/10/2016,Pchum Ben Day (Day 2),Holidays in Cambodia
02/10/2016,Pchum Ben Day (Day 3),Holidays in Cambodia
15/10/2016,Commemoration Day of King's Father,Holidays in Cambodia
23/10/2016,Paris Peace Agreement's Day,Holidays in Cambodia
29/10/2016,King's Coronation Day,Holidays in Cambodia
09/11/2016,Independence Day,Holidays in Cambodia
13/11/2016,Water Festival Ceremony (Day 1),Holidays in Cambodia
